member_casual,rides,ride_share_pct,avg_ride_minutes,most_common_day_of_week,most_common_start_hour,weekend_ride_share_pct,commute_window_share_pct,round_trip_share_pct
casual,2008741,35.9,19.13,Saturday,17,37.24,25.33,5.99
member,3587101,64.1,12.01,Thursday,17,23.27,38.64,1.95
