day_of_week,start_hour,member_casual,rides
Thursday,14,casual,15028
Thursday,14,member,25282
Thursday,15,casual,17779
Thursday,15,member,35948
Thursday,16,casual,23048
Thursday,16,member,56355
Thursday,17,casual,29142
Thursday,17,member,68780
Thursday,18,casual,25191
Thursday,18,member,51005
Thursday,19,casual,18398
Thursday,19,member,34535
Thursday,20,casual,12570
Thursday,20,member,23321
Thursday,21,casual,10855
Thursday,21,member,18305
Thursday,22,casual,9395
Thursday,22,member,13634
Thursday,23,casual,6915
Thursday,23,member,8305
Friday,0,casual,5083
Friday,0,member,4562
Friday,1,casual,3135
Friday,1,member,2594
Friday,2,casual,1952
Friday,2,member,1450
Friday,3,casual,1072
Friday,3,member,1015
Friday,4,casual,1018
Friday,4,member,1330
Friday,5,casual,1972
Friday,5,member,5728
Friday,6,casual,4242
Friday,6,member,15524
Friday,7,casual,7572
Friday,7,member,28232
Friday,8,casual,9665
Friday,8,member,34731
Friday,9,casual,9536
Friday,9,member,23661
Friday,10,casual,11407
Friday,10,member,19305
Friday,11,casual,15311
Friday,11,member,24322
Friday,12,casual,19541
Friday,12,member,29361
Friday,13,casual,20334
Friday,13,member,29287
Friday,14,casual,21159
Friday,14,member,30113
Friday,15,casual,25518
Friday,15,member,39028
Friday,16,casual,30285
Friday,16,member,50933
Friday,17,casual,32197
Friday,17,member,54176
Friday,18,casual,28224
Friday,18,member,44360
Friday,19,casual,20948
Friday,19,member,30884
Friday,20,casual,15305
Friday,20,member,21202
Friday,21,casual,12837
Friday,21,member,16588
Friday,22,casual,12336
Friday,22,member,14259
Friday,23,casual,11364
Friday,23,member,11201
Saturday,0,casual,10990
Saturday,0,member,8874
Saturday,1,casual,7781
Saturday,1,member,6092
Saturday,2,casual,5081
Saturday,2,member,3753
Saturday,3,casual,2655
Saturday,3,member,1999
Saturday,4,casual,1449
Saturday,4,member,1214
Saturday,5,casual,1279
Saturday,5,member,2194
Saturday,6,casual,2604
Saturday,6,member,5356
Saturday,7,casual,4905
Saturday,7,member,9534
Saturday,8,casual,9483
Saturday,8,member,17067
Saturday,9,casual,15563
Saturday,9,member,23705
Saturday,10,casual,23115
Saturday,10,member,29820
Saturday,11,casual,29068
Saturday,11,member,33552
Saturday,12,casual,32821
Saturday,12,member,34228
Saturday,13,casual,33892
Saturday,13,member,34048
Saturday,14,casual,35228
Saturday,14,member,34361
Saturday,15,casual,35866
Saturday,15,member,34370
Saturday,16,casual,34263
Saturday,16,member,34552
Saturday,17,casual,29842
Saturday,17,member,31820
Saturday,18,casual,25661
Saturday,18,member,29276
Saturday,19,casual,19733
Saturday,19,member,22334
Saturday,20,casual,14592
Saturday,20,member,16152
Saturday,21,casual,13982
Saturday,21,member,14142
Saturday,22,casual,13967
Saturday,22,member,13332
Saturday,23,casual,11093
Saturday,23,member,10516
