member_casual,rides,ride_minutes,avg_ride_minutes,total_ride_hours,max_ride_minutes,most_common_day_of_week
casual,2008741,38429863.535000004,19.13,640497.73,1439.98,Saturday
member,3587101,43093850.163100004,12.01,718230.84,1439.9,Thursday
